loss,accuracy,lr
2.286080614395086,0.1875,0.01
1.9894741748566973,0.28125,0.01
1.9525568544385747,0.375,0.01
1.883717104335185,0.4375,0.01
2.069999899469559,0.25,0.01
1.9859084982184383,0.34375,0.01
2.15819087833432,0.25,0.01
2.0773759700993137,0.15625,0.01
2.136688654540179,0.21875,0.01
1.8254706502133338,0.34375,0.01
1.8514670491017067,0.34375,0.01
1.9396581089096692,0.4375,0.01
1.8161424553570742,0.4375,0.01
2.1110693452759626,0.28125,0.01
2.249057107290551,0.21875,0.01
2.0604679910132417,0.15625,0.01
2.158791229763406,0.3125,0.01
2.112889915634889,0.40625,0.01
2.2196105841503124,0.25,0.01
2.068772752982295,0.28125,0.01
2.019396234455562,0.25,0.01
1.9200090304590902,0.375,0.01
1.7403276859918388,0.40625,0.01
2.001756232900481,0.3125,0.01
1.944292336673328,0.34375,0.01
2.090883232334727,0.3125,0.01
2.1707517438671595,0.1875,0.01
2.0889924123079284,0.28125,0.01
1.6954011694506472,0.46875,0.01
2.118717230462522,0.28125,0.01
2.0251568720292084,0.28125,0.01
1.8280686216882496,0.375,0.01
1.8816875163157558,0.34375,0.01
2.029027709586611,0.25,0.01
1.7745547951954785,0.46875,0.01
1.9084347323742308,0.28125,0.01
1.8473221317415385,0.375,0.01
1.8884007737808108,0.3125,0.01
2.1205343330925057,0.21875,0.01
2.1146815125523766,0.3125,0.01
1.907057527228921,0.40625,0.01
1.7914338394044023,0.4375,0.01
1.8522870748704436,0.46875,0.01
2.0068561912206495,0.25,0.01
1.905026651725581,0.40625,0.01
2.0280494623503134,0.1875,0.01
2.0401569292473893,0.3125,0.01
1.9783128183695933,0.375,0.01
1.997634486158388,0.46875,0.01
1.8814518470930262,0.375,0.01
2.211168366974826,0.25,0.01
1.871040309040582,0.34375,0.01
1.8821303236921074,0.4375,0.01
1.729726422563032,0.34375,0.01
2.0358413320330953,0.21875,0.01
2.1391438103461398,0.25,0.01
2.024947614641505,0.3125,0.01
1.9858127080869155,0.34375,0.01
1.9148210268384376,0.375,0.01
1.8980602496493613,0.40625,0.01
2.1215478242435784,0.28125,0.01
1.8881118761860542,0.46875,0.01
1.7308956798801987,0.46875,0.01
1.7960071353732487,0.53125,0.01
2.1176049531777945,0.25,0.01
1.670399078147531,0.46875,0.01
1.8439830545203255,0.40625,0.01
1.955261835108041,0.375,0.01
1.9479657904346899,0.28125,0.01
1.8678977087872997,0.4375,0.01
1.7916660073385293,0.28125,0.01
1.8921330679978352,0.46875,0.01
2.197631538510262,0.15625,0.01
2.0972711444298224,0.15625,0.01
1.9323791302698972,0.375,0.01
1.9557989389638557,0.375,0.01
1.8184871338235424,0.5,0.01
2.0974099259580115,0.34375,0.01
1.9422623186946886,0.28125,0.01
1.9164330800419735,0.40625,0.01
1.935044812767048,0.375,0.01
1.771140800034313,0.375,0.01
1.827028873179033,0.46875,0.01
2.2143548016640815,0.1875,0.01
1.7781938608430687,0.46875,0.01
1.929783791873158,0.46875,0.01
1.6917317939664334,0.375,0.01
1.6182672239739748,0.53125,0.01
1.935640844597653,0.28125,0.01
1.9303467195703163,0.375,0.01
1.7965887745079456,0.46875,0.01
2.028329660471743,0.34375,0.01
2.2097934006105904,0.28125,0.01
1.964299517831959,0.3125,0.01
1.721725382311603,0.5,0.01
1.8814844489489482,0.34375,0.01
2.1392087566641855,0.21875,0.01
2.0076941591243824,0.3125,0.01
1.8002643659922244,0.40625,0.01
1.9504990324845106,0.28125,0.01
1.639188829497364,0.5625,0.01
1.7346268445589283,0.4375,0.01
2.1803591658710095,0.28125,0.01
1.851821023341737,0.5,0.01
2.016167337329487,0.4375,0.01
1.8887517824644597,0.53125,0.01
1.8325984229368928,0.375,0.01
1.9816160702445949,0.375,0.01
1.9308986383778546,0.3125,0.01
2.0015422643462006,0.34375,0.01
1.7555760339968567,0.4375,0.01
1.9568336974948333,0.28125,0.01
2.0024439713625584,0.21875,0.01
1.8847937277938827,0.375,0.01
1.8119787390348878,0.4375,0.01
1.7658637378470163,0.4375,0.01
2.0263421057025064,0.4375,0.01
1.8190590163193505,0.3125,0.01
1.632329946186715,0.46875,0.01
1.9529709564486426,0.3125,0.01
2.005324641946604,0.3125,0.01
1.7745492084034213,0.40625,0.01
1.8448383037055436,0.34375,0.01
2.095971900597819,0.21875,0.01
1.79906877020827,0.375,0.01
1.7024947658660514,0.375,0.01
1.8101129087495,0.46875,0.01
1.9570853428745243,0.28125,0.01
1.9201739694471756,0.34375,0.01
1.9720718522898715,0.375,0.01
1.7227632690712193,0.4375,0.01
1.9789037192736596,0.3125,0.01
1.6231838154639655,0.4375,0.01
2.096797526823563,0.28125,0.01
2.0482339312117523,0.34375,0.01
1.7870396793323764,0.40625,0.01
1.8881369272049975,0.40625,0.01
1.694894550912499,0.5,0.01
1.88949104009208,0.375,0.01
1.9348884155116448,0.34375,0.01
2.0104571951768233,0.28125,0.01
2.1040290804259105,0.21875,0.01
1.7059345574249005,0.5,0.01
2.0034031951785316,0.28125,0.01
1.9496721386406857,0.3125,0.01
1.8951113319118336,0.21875,0.01
1.8171686836977072,0.4375,0.01
1.5398858936508724,0.53125,0.01
1.6389920527383375,0.625,0.01
1.5572648693580853,0.5625,0.01
1.8634766807116068,0.375,0.01
1.834745624257254,0.40625,0.01
1.726021380462783,0.5,0.01
1.8836789506086278,0.40625,0.01
1.8286695741712415,0.375,0.01
1.6397046123086447,0.46875,0.01
1.7671248093247784,0.4375,0.01
1.8466489833275155,0.375,0.01
1.8292964857155232,0.40625,0.01
1.9587864007794902,0.21875,0.01
2.0685162795429113,0.28125,0.01
1.8432442478206692,0.3125,0.01
1.8784961052037534,0.34375,0.01
1.8844826488677542,0.375,0.01
1.7904914502415017,0.4375,0.01
1.8212489933471536,0.5,0.01
1.8964480844002007,0.4375,0.01
2.092914189291841,0.28125,0.01
1.9824074243707184,0.34375,0.01
1.7554968069562276,0.34375,0.01
1.9220388562602677,0.40625,0.01
1.9088862583265562,0.3125,0.01
1.8258546606310004,0.375,0.01
1.7159503573310222,0.4375,0.01
1.8649621135164,0.21875,0.01
1.7961480558343763,0.46875,0.01
1.9195822263332893,0.40625,0.01
1.6963860043249013,0.40625,0.01
1.9075784892469834,0.34375,0.01
1.7938453837266015,0.4375,0.01
1.9324194876072305,0.34375,0.01
1.678621998129577,0.4375,0.01
1.6587873049354336,0.4375,0.01
1.7962276980107026,0.40625,0.01
1.8824331333289706,0.375,0.01
1.6119323574061257,0.5,0.01
1.8136408875452728,0.375,0.01
1.6072565008728854,0.53125,0.01
1.6023141045789215,0.46875,0.01
1.87554793427697,0.46875,0.01
1.876059555674003,0.15625,0.01
1.6390827674177804,0.59375,0.01
1.7031804598766105,0.46875,0.01
2.0728548972661662,0.3125,0.01
1.7752576556616053,0.5625,0.01
1.8637487097768726,0.34375,0.01
1.841074990898603,0.3125,0.01
1.6912401333970406,0.4375,0.01
1.805334323003413,0.4375,0.01
1.7128435593155706,0.46875,0.01
1.731572363956421,0.34375,0.01
1.8029501604091123,0.21875,0.01
1.7540971755599557,0.375,0.01
1.849564095353808,0.375,0.01
1.5146547980529634,0.59375,0.01
1.5696356504047844,0.6875,0.01
1.5984750312211953,0.5,0.01
1.7449022200596835,0.53125,0.01
1.9817661140323912,0.3125,0.01
1.7234791053008014,0.5,0.01
1.793311380389924,0.375,0.01
1.8212477961225533,0.34375,0.01
1.7451888624962182,0.40625,0.01
1.8201878087388224,0.40625,0.01
1.5296469347502584,0.625,0.01
1.9549444653200378,0.25,0.01
1.803880621058567,0.28125,0.01
1.7400677163801168,0.46875,0.01
1.5699020485401085,0.53125,0.01
1.862996158474486,0.4375,0.01
1.692243635537003,0.5,0.01
1.764378369188367,0.46875,0.01
1.5944061929778401,0.53125,0.01
1.7179995340430196,0.46875,0.01
1.7777922418523546,0.5,0.01
1.8484365935864104,0.40625,0.01
1.7100465441835815,0.5,0.01
1.3402361450472302,0.71875,0.01
1.633174418289562,0.5625,0.01
1.9673137193943055,0.3125,0.01
1.663984998811232,0.5,0.01
1.8240821267380742,0.46875,0.01
2.232035231078306,0.28125,0.01
1.9772051318696242,0.28125,0.01
1.7997442349560864,0.5,0.01
1.5060410648721037,0.5,0.01
1.6611840605070134,0.46875,0.01
1.8662433167739523,0.40625,0.01
1.5983617290725478,0.4375,0.01
1.6349381640646845,0.375,0.01
1.7516355919258475,0.3125,0.01
1.8058885499821276,0.40625,0.01
1.9085479749133252,0.375,0.01
1.7789367568330812,0.4375,0.01
1.5829327111231017,0.625,0.01
1.7555861212412875,0.46875,0.01
1.8988553316280503,0.3125,0.01
1.8982107178884913,0.4375,0.01
2.1343420598585015,0.3125,0.01
1.5935809093137954,0.5,0.01
1.6624744569606476,0.40625,0.01
1.727718816106234,0.4375,0.01
1.7075573014062795,0.5625,0.01
1.6937509940543345,0.40625,0.01
1.6821631717243952,0.46875,0.01
1.7277675029080657,0.4375,0.01
1.4987730038911549,0.53125,0.01
1.6262453068863376,0.75,0.01
1.702451047808834,0.40625,0.01
1.9710867792601083,0.3125,0.01
2.0840556991451518,0.28125,0.01
1.7919922804771757,0.375,0.01
1.7022035524157548,0.53125,0.01
1.6897394389032545,0.40625,0.01
1.520374376429929,0.46875,0.01
1.5892136543148028,0.65625,0.01
1.7167244916913345,0.34375,0.01
2.018887149475553,0.34375,0.01
1.7375938264426694,0.5,0.01
1.6986344769476271,0.40625,0.01
1.4933321152892727,0.5625,0.01
1.695284751614692,0.46875,0.01
1.9448380964233623,0.21875,0.01
1.6330836211480602,0.53125,0.01
1.572310386721442,0.5,0.01
1.630773725557885,0.46875,0.01
1.722779960251639,0.28125,0.01
1.5428091098251806,0.5,0.01
1.7970401892267769,0.46875,0.01
1.6495612372772763,0.40625,0.01
1.9457294701691246,0.34375,0.01
1.6024952218758404,0.5625,0.01
1.7589272281194626,0.40625,0.01
1.7337519997708506,0.40625,0.01
1.6602016582997805,0.5,0.01
1.4763225295551377,0.59375,0.01
1.5678471216957965,0.4375,0.01
1.6652387964647481,0.4375,0.01
1.6951045746117264,0.5,0.01
1.711908435027568,0.4375,0.01
1.7331588770564206,0.375,0.01
1.6924205033491275,0.375,0.01
1.6496835817513347,0.46875,0.01
1.5201823710599287,0.625,0.01
1.4872754195491833,0.53125,0.01
1.7597713608833483,0.4375,0.01
1.983457231082972,0.34375,0.01
1.309775679255304,0.59375,0.01
1.614405374502934,0.46875,0.01
1.6079029349860199,0.5,0.01
1.749408961511643,0.3125,0.01
1.6550450344457943,0.40625,0.01
1.7358671874171883,0.375,0.01
1.411830628282438,0.53125,0.01
1.884770704025078,0.3125,0.01
1.7431850325020835,0.4375,0.01
1.6816842407831933,0.5,0.01
1.573795767152643,0.5,0.01
1.6911447741619483,0.4375,0.01
1.5130021590424425,0.65625,0.01
1.470166945003735,0.5625,0.01
1.5911116953420326,0.5,0.01
1.6869001250253572,0.4375,0.01
1.645149087487614,0.5,0.01
1.4864983668007004,0.59375,0.01
1.7127671481290394,0.53125,0.01
1.7224162708080861,0.375,0.01
1.8878706310712903,0.375,0.01
1.7844450318347795,0.4375,0.01
1.851167811703282,0.4375,0.01
1.6411891398350276,0.4375,0.01
1.6867835037236676,0.40625,0.01
1.2625821944181697,0.625,0.01
1.6054589558254502,0.4375,0.01
1.6576665198004892,0.40625,0.01
1.8225237514175232,0.375,0.01
1.8976660567426273,0.53125,0.01
1.6809332066261042,0.40625,0.01
1.6339592711824906,0.46875,0.01
1.8870807763863608,0.375,0.01
1.8938241381846037,0.34375,0.01
1.8163996842076897,0.5,0.01
1.2990772314840608,0.71875,0.01
1.5937841508614472,0.53125,0.01
1.6432889653294283,0.46875,0.01
1.716870755501005,0.53125,0.01
1.5996860485724103,0.4375,0.01
1.337090365396036,0.53125,0.01
1.5475929560562294,0.4375,0.01
1.8274073827867179,0.4375,0.01
1.6469530464380633,0.59375,0.01
1.5165239006146647,0.4375,0.01
1.68237969374135,0.46875,0.01
1.6540836551678264,0.40625,0.01
1.818995628168595,0.46875,0.01
1.675672111715443,0.53125,0.01
1.6326865163891549,0.4375,0.01
